num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,booking_timing,total_addons,flight_time_category,is_long_flight,lead_x_duration
2,Internet,round_trip,262,19,7,Sat,AKLDEL,New Zealand,1,0,0,5.52,0,early,1,morning,0,1446.2399999999998
1,Internet,round_trip,112,20,3,Sat,AKLDEL,New Zealand,0,0,0,5.52,0,early,0,midnight,0,618.24
2,Internet,round_trip,243,22,17,Wed,AKLDEL,India,1,1,0,5.52,0,early,2,afternoon,0,1341.36
1,Internet,round_trip,96,31,4,Sat,AKLDEL,New Zealand,0,0,1,5.52,0,early,1,midnight,0,529.92
2,Internet,round_trip,68,22,15,Wed,AKLDEL,India,1,0,1,5.52,0,early,2,afternoon,0,375.35999999999996
1,Internet,round_trip,3,48,20,Thu,AKLDEL,New Zealand,1,0,1,5.52,0,late,2,evening,0,16.56
3,Internet,round_trip,201,33,6,Thu,AKLDEL,New Zealand,1,0,1,5.52,0,early,2,morning,0,1109.52
2,Internet,round_trip,238,19,14,Mon,AKLDEL,India,1,0,1,5.52,0,early,2,afternoon,0,1313.76
1,Internet,round_trip,80,22,4,Mon,AKLDEL,New Zealand,0,0,1,5.52,0,early,1,midnight,0,441.59999999999997
1,Mobile,round_trip,378,30,12,Sun,AKLDEL,India,0,0,0,5.52,0,early,0,afternoon,0,2086.56
2,Internet,round_trip,185,25,14,Tue,AKLDEL,United Kingdom,1,1,1,5.52,0,early,3,afternoon,0,1021.1999999999999
1,Internet,round_trip,8,43,2,Sat,AKLDEL,New Zealand,1,1,1,5.52,0,medium,3,midnight,0,44.16
4,Internet,round_trip,265,24,19,Mon,AKLDEL,New Zealand,1,0,1,5.52,0,early,2,evening,0,1462.8
1,Internet,round_trip,185,17,14,Fri,AKLDEL,India,0,0,0,5.52,0,early,0,afternoon,0,1021.1999999999999
